instance,run,seed,island,train_iter,events,patience,stagnation,soft_ceil,hard_ceil
concentricCircles1,3,21,0,200,146,130,1,0,0
concentricCircles1,3,21,6,200,147,109,1,0,0
concentricCircles1,3,21,1,200,133,165,1,0,0
concentricCircles1,3,21,7,200,146,92,1,0,0
concentricCircles1,3,21,4,200,146,120,1,0,0
concentricCircles1,3,21,2,200,152,164,1,0,0
concentricCircles1,3,21,5,200,148,168,1,0,0
concentricCircles1,3,21,3,200,153,120,1,0,0
concentricCircles1,3,21,8,231,174,80,1,0,0
concentricCircles1,4,31,6,200,157,159,1,0,0
concentricCircles1,4,31,1,200,154,162,1,0,0
concentricCircles1,4,31,4,200,133,131,1,0,0
concentricCircles1,4,31,7,200,155,127,1,0,0
concentricCircles1,4,31,3,200,148,133,1,0,0
concentricCircles1,4,31,8,200,146,181,1,0,0
concentricCircles1,4,31,2,200,146,130,1,0,0
concentricCircles1,4,31,5,204,145,80,1,0,0
concentricCircles1,5,41,0,200,144,176,1,0,0
concentricCircles1,5,41,4,200,144,135,1,0,0
concentricCircles1,5,41,3,200,146,147,1,0,0
concentricCircles1,5,41,6,200,153,160,1,0,0
concentricCircles1,5,41,2,200,143,89,1,0,0
concentricCircles1,5,41,8,200,155,168,1,0,0
concentricCircles1,5,41,5,200,144,140,1,0,0
concentricCircles1,5,41,1,200,132,174,1,0,0
concentricCircles1,5,41,7,231,174,80,1,0,0
concentricCircles1,6,51,6,200,154,162,1,0,0
concentricCircles1,6,51,3,200,153,138,1,0,0
concentricCircles1,6,51,7,200,149,173,1,0,0
concentricCircles1,6,51,0,200,157,161,1,0,0
concentricCircles1,6,51,8,200,155,154,1,0,0
concentricCircles1,6,51,2,200,145,141,1,0,0
concentricCircles1,6,51,5,200,153,95,1,0,0
concentricCircles1,6,51,4,200,155,171,1,0,0
concentricCircles1,6,51,1,200,142,118,1,0,0
concentricCircles1,7,61,0,200,144,180,1,0,0
concentricCircles1,7,61,5,200,146,155,1,0,0
concentricCircles1,7,61,1,200,144,137,1,0,0
concentricCircles1,7,61,3,200,147,110,1,0,0
concentricCircles1,7,61,7,200,143,177,1,0,0
concentricCircles1,7,61,6,200,154,149,1,0,0
concentricCircles1,7,61,2,200,145,151,1,0,0
concentricCircles1,7,61,4,200,152,176,1,0,0
concentricCircles1,7,61,8,223,165,80,1,0,0
concentricCircles1,8,71,0,200,152,123,1,0,0
concentricCircles1,8,71,8,200,143,111,1,0,0
concentricCircles1,8,71,1,200,157,193,1,0,0
concentricCircles1,8,71,5,200,155,98,1,0,0
concentricCircles1,8,71,6,200,144,122,1,0,0
concentricCircles1,8,71,3,200,144,162,1,0,0
concentricCircles1,8,71,7,203,147,80,1,0,0
concentricCircles1,8,71,2,234,175,80,1,0,0
concentricCircles1,8,71,4,250,182,62,0,1,0
concentricCircles1,9,81,0,200,155,161,1,0,0
concentricCircles1,9,81,2,200,142,173,1,0,0
concentricCircles1,9,81,4,200,155,112,1,0,0
concentricCircles1,9,81,3,200,146,92,1,0,0
concentricCircles1,9,81,6,200,148,174,1,0,0
concentricCircles1,9,81,7,200,148,137,1,0,0
concentricCircles1,9,81,8,200,165,142,1,0,0
concentricCircles1,9,81,5,200,145,175,1,0,0
concentricCircles1,9,81,1,200,144,127,1,0,0
rotatingDiamonds1,10,91,3,200,174,198,1,0,0
rotatingDiamonds1,10,91,0,200,171,196,1,0,0
rotatingDiamonds1,10,91,7,200,180,198,1,0,0
rotatingDiamonds1,10,91,6,200,172,197,1,0,0
rotatingDiamonds1,10,91,2,200,171,197,1,0,0
rotatingDiamonds1,10,91,1,200,172,190,1,0,0
rotatingDiamonds1,10,91,4,200,173,198,1,0,0
rotatingDiamonds1,10,91,8,200,171,196,1,0,0
rotatingDiamonds1,10,91,5,200,180,195,1,0,0
rotatingDiamonds1,1,1,8,200,171,197,1,0,0
rotatingDiamonds1,1,1,4,200,171,197,1,0,0
rotatingDiamonds1,1,1,2,200,171,197,1,0,0
rotatingDiamonds1,1,1,3,200,172,198,1,0,0
rotatingDiamonds1,1,1,0,200,172,198,1,0,0
rotatingDiamonds1,1,1,7,200,180,198,1,0,0
rotatingDiamonds1,1,1,6,200,180,197,1,0,0
rotatingDiamonds1,1,1,5,200,171,197,1,0,0
rotatingDiamonds1,1,1,1,200,180,197,1,0,0
rotatingDiamonds1,2,11,0,200,180,198,1,0,0
rotatingDiamonds1,2,11,5,200,172,198,1,0,0
rotatingDiamonds1,2,11,7,200,180,198,1,0,0
rotatingDiamonds1,2,11,1,200,171,198,1,0,0
rotatingDiamonds1,2,11,3,200,171,197,1,0,0
rotatingDiamonds1,2,11,8,200,180,197,1,0,0
rotatingDiamonds1,2,11,6,200,171,196,1,0,0
rotatingDiamonds1,2,11,4,200,171,198,1,0,0
rotatingDiamonds1,3,21,0,200,171,195,1,0,0
rotatingDiamonds1,3,21,1,200,173,197,1,0,0
rotatingDiamonds1,3,21,5,200,171,198,1,0,0
rotatingDiamonds1,3,21,7,200,172,198,1,0,0
rotatingDiamonds1,3,21,3,200,180,198,1,0,0
rotatingDiamonds1,3,21,6,200,171,197,1,0,0
rotatingDiamonds1,3,21,4,200,172,196,1,0,0
rotatingDiamonds1,3,21,2,200,171,198,1,0,0
rotatingDiamonds1,3,21,8,200,180,198,1,0,0
rotatingDiamonds1,4,31,7,200,172,198,1,0,0
rotatingDiamonds1,4,31,0,200,172,196,1,0,0
rotatingDiamonds1,4,31,3,200,171,198,1,0,0
rotatingDiamonds1,4,31,6,200,170,197,1,0,0
rotatingDiamonds1,4,31,2,200,180,195,1,0,0
rotatingDiamonds1,4,31,8,200,171,197,1,0,0
rotatingDiamonds1,4,31,4,200,170,198,1,0,0
rotatingDiamonds1,4,31,1,200,172,198,1,0,0
rotatingDiamonds1,4,31,5,200,180,198,1,0,0
rotatingDiamonds1,5,41,0,200,171,195,1,0,0
rotatingDiamonds1,5,41,3,200,171,198,1,0,0
rotatingDiamonds1,5,41,7,200,180,188,1,0,0
rotatingDiamonds1,5,41,2,200,172,196,1,0,0
rotatingDiamonds1,5,41,8,200,180,194,1,0,0
rotatingDiamonds1,5,41,5,200,171,195,1,0,0
rotatingDiamonds1,5,41,1,200,174,198,1,0,0
rotatingDiamonds1,5,41,6,200,172,197,1,0,0
rotatingDiamonds1,5,41,4,200,170,196,1,0,0
rotatingDiamonds1,6,51,4,200,172,198,1,0,0
rotatingDiamonds1,6,51,0,200,172,196,1,0,0
rotatingDiamonds1,6,51,6,200,172,194,1,0,0
rotatingDiamonds1,6,51,5,200,174,198,1,0,0
rotatingDiamonds1,6,51,8,200,180,195,1,0,0
rotatingDiamonds1,6,51,2,200,180,193,1,0,0
rotatingDiamonds1,6,51,1,200,173,196,1,0,0
rotatingDiamonds1,6,51,3,200,171,198,1,0,0
rotatingDiamonds1,6,51,7,200,171,198,1,0,0
rotatingDiamonds1,7,61,0,200,180,198,1,0,0
rotatingDiamonds1,7,61,4,200,172,193,1,0,0
rotatingDiamonds1,7,61,7,200,171,198,1,0,0
rotatingDiamonds1,7,61,5,200,180,192,1,0,0
rotatingDiamonds1,7,61,1,200,171,198,1,0,0
rotatingDiamonds1,7,61,8,200,172,198,1,0,0
rotatingDiamonds1,7,61,3,200,180,197,1,0,0
rotatingDiamonds1,7,61,6,200,171,191,1,0,0
rotatingDiamonds1,7,61,2,200,180,195,1,0,0
rotatingDiamonds1,8,71,0,200,171,195,1,0,0
rotatingDiamonds1,8,71,1,200,172,194,1,0,0
rotatingDiamonds1,8,71,3,200,171,198,1,0,0
rotatingDiamonds1,8,71,7,200,172,198,1,0,0
rotatingDiamonds1,8,71,6,200,173,196,1,0,0
rotatingDiamonds1,8,71,8,200,171,198,1,0,0
rotatingDiamonds1,8,71,4,200,170,194,1,0,0
rotatingDiamonds1,8,71,5,200,172,198,1,0,0
rotatingDiamonds1,9,81,0,200,171,198,1,0,0
rotatingDiamonds1,9,81,6,200,172,196,1,0,0
rotatingDiamonds1,9,81,5,200,171,195,1,0,0
rotatingDiamonds1,9,81,4,200,180,198,1,0,0
rotatingDiamonds1,9,81,8,200,171,198,1,0,0
rotatingDiamonds1,9,81,7,200,175,198,1,0,0
rotatingDiamonds1,9,81,2,200,180,198,1,0,0
rotatingDiamonds1,9,81,1,200,171,194,1,0,0
rotatingDiamonds1,9,81,3,200,180,198,1,0,0
team4_400,10,91,3,200,180,90,1,0,0
team4_400,10,91,1,200,180,117,1,0,0
team4_400,10,91,8,216,190,80,1,0,0
team4_400,10,91,7,230,210,80,1,0,0
team4_400,10,91,0,250,230,49,0,1,0
team4_400,10,91,6,250,230,39,0,1,0
team4_400,10,91,2,250,230,4,0,1,0
team4_400,10,91,4,250,230,37,0,1,0
team4_400,10,91,5,250,230,60,0,1,0
team4_400,1,1,7,200,180,134,1,0,0
team4_400,1,1,0,200,180,137,1,0,0
team4_400,1,1,6,201,180,80,1,0,0
team4_400,1,1,2,226,200,80,1,0,0
team4_400,1,1,8,233,210,80,1,0,0
team4_400,1,1,4,250,230,17,0,1,0
team4_400,1,1,1,250,230,77,0,1,0
team4_400,1,1,5,250,230,36,0,1,0
team4_400,1,1,3,245,220,80,1,0,0
team4_400,2,11,0,200,180,94,1,0,0
team4_400,2,11,8,206,180,80,1,0,0
team4_400,2,11,2,214,190,80,1,0,0
team4_400,2,11,7,240,220,80,1,0,0
team4_400,2,11,6,250,230,15,0,1,0
team4_400,2,11,1,250,230,49,0,1,0
team4_400,2,11,5,250,230,27,0,1,0
team4_400,2,11,3,250,230,17,0,1,0
team4_400,2,11,4,250,230,78,0,1,0
team4_400,3,21,2,200,180,91,1,0,0
team4_400,3,21,3,200,180,87,1,0,0
team4_400,3,21,6,202,180,80,1,0,0
team4_400,3,21,8,248,220,80,1,0,0
team4_400,3,21,4,250,230,23,0,1,0
team4_400,3,21,1,250,230,56,0,1,0
team4_400,3,21,0,250,230,55,0,1,0
team4_400,3,21,7,250,230,74,0,1,0
team4_400,3,21,5,250,230,49,0,1,0
team4_400,4,31,8,217,190,80,1,0,0
team4_400,4,31,3,232,210,80,1,0,0
team4_400,4,31,5,250,230,11,0,1,0
team4_400,4,31,6,248,220,80,1,0,0
team4_400,4,31,7,250,230,40,0,1,0
team4_400,4,31,2,250,230,9,0,1,0
team4_400,4,31,0,250,230,53,0,1,0
team4_400,4,31,4,249,220,80,1,0,0
team4_400,4,31,1,250,230,40,0,1,0
team4_400,5,41,7,200,180,84,1,0,0
team4_400,5,41,1,200,180,89,1,0,0
team4_400,5,41,6,200,180,131,1,0,0
team4_400,5,41,8,208,180,80,1,0,0
team4_400,5,41,5,234,210,80,1,0,0
team4_400,5,41,0,250,230,17,0,1,0
team4_400,5,41,2,250,230,22,0,1,0
team4_400,5,41,3,250,230,80,1,1,0
team4_400,5,41,4,250,230,71,0,1,0
team4_400,6,51,3,200,180,80,1,0,0
team4_400,6,51,2,221,200,80,1,0,0
team4_400,6,51,7,226,200,80,1,0,0
team4_400,6,51,4,250,230,6,0,1,0
team4_400,6,51,0,250,230,60,0,1,0
team4_400,6,51,1,250,230,1,0,1,0
team4_400,6,51,6,250,230,34,0,1,0
team4_400,6,51,8,250,230,28,0,1,0
team4_400,6,51,5,250,230,41,0,1,0
team4_400,7,61,3,203,180,80,1,0,0
team4_400,7,61,2,200,180,147,1,0,0
team4_400,7,61,4,242,220,80,1,0,0
team4_400,7,61,5,250,230,50,0,1,0
team4_400,7,61,8,250,230,80,1,1,0
team4_400,7,61,0,250,230,16,0,1,0
team4_400,7,61,6,250,230,13,0,1,0
team4_400,7,61,1,250,230,23,0,1,0
team4_400,7,61,7,250,230,17,0,1,0
team4_400,8,71,1,200,180,122,1,0,0
team4_400,8,71,0,229,200,80,1,0,0
team4_400,8,71,7,227,200,80,1,0,0
team4_400,8,71,3,242,220,80,1,0,0
team4_400,8,71,6,250,230,29,0,1,0
team4_400,8,71,4,250,230,26,0,1,0
team4_400,8,71,5,250,230,49,0,1,0
team4_400,8,71,2,250,230,3,0,1,0
team4_400,8,71,8,250,230,61,0,1,0
team4_400,9,81,1,200,180,86,1,0,0
team4_400,9,81,0,234,210,80,1,0,0
team4_400,9,81,7,250,230,5,0,1,0
team4_400,9,81,3,250,230,37,0,1,0
team4_400,9,81,4,250,230,43,0,1,0
team4_400,9,81,8,250,230,23,0,1,0
team4_400,9,81,2,250,230,25,0,1,0
team4_400,9,81,5,250,230,42,0,1,0
team4_400,9,81,6,250,230,51,0,1,0
d493_or2,10,91,8,215,190,80,1,0,0
d493_or2,10,91,0,248,220,80,1,0,0
d493_or2,10,91,5,250,230,6,0,1,0
d493_or2,10,91,7,250,230,71,0,1,0
d493_or2,10,91,2,250,230,39,0,1,0
d493_or2,10,91,1,250,230,33,0,1,0
d493_or2,10,91,6,250,230,49,0,1,0
d493_or2,10,91,4,250,230,27,0,1,0
d493_or2,10,91,3,250,230,4,0,1,0
d493_or2,1,1,8,200,180,126,1,0,0
d493_or2,1,1,6,213,190,80,1,0,0
d493_or2,1,1,4,200,180,104,1,0,0
d493_or2,1,1,3,250,230,50,0,1,0
d493_or2,1,1,0,250,230,40,0,1,0
d493_or2,1,1,7,250,230,14,0,1,0
d493_or2,1,1,2,250,230,41,0,1,0
d493_or2,1,1,5,250,230,12,0,1,0
d493_or2,1,1,1,250,230,32,0,1,0
d493_or2,2,11,5,209,180,80,1,0,0
d493_or2,2,11,2,231,210,80,1,0,0
d493_or2,2,11,0,250,230,7,0,1,0
d493_or2,2,11,8,250,230,18,0,1,0
d493_or2,2,11,6,250,230,44,0,1,0
d493_or2,2,11,3,250,230,11,0,1,0
d493_or2,2,11,7,250,230,40,0,1,0
d493_or2,2,11,1,250,230,15,0,1,0
d493_or2,2,11,4,250,230,17,0,1,0
d493_or2,3,21,5,200,180,84,1,0,0
d493_or2,3,21,1,205,180,80,1,0,0
d493_or2,3,21,3,231,210,80,1,0,0
d493_or2,3,21,8,238,210,80,1,0,0
d493_or2,3,21,4,250,230,17,0,1,0
d493_or2,3,21,0,250,230,76,0,1,0
d493_or2,3,21,7,250,230,70,0,1,0
d493_or2,3,21,6,250,230,30,0,1,0
d493_or2,3,21,2,250,230,46,0,1,0
d493_or2,4,31,6,239,210,80,1,0,0
d493_or2,4,31,1,250,230,55,0,1,0
d493_or2,4,31,0,250,230,7,0,1,0
d493_or2,4,31,4,250,230,5,0,1,0
d493_or2,4,31,5,250,230,36,0,1,0
d493_or2,4,31,7,250,230,13,0,1,0
d493_or2,4,31,2,250,230,63,0,1,0
d493_or2,4,31,8,250,230,9,0,1,0
d493_or2,4,31,3,250,230,13,0,1,0
d493_or2,5,41,3,200,180,108,1,0,0
d493_or2,5,41,7,200,180,103,1,0,0
d493_or2,5,41,1,233,210,80,1,0,0
d493_or2,5,41,4,250,230,55,0,1,0
d493_or2,5,41,8,250,230,19,0,1,0
d493_or2,5,41,0,250,230,23,0,1,0
d493_or2,5,41,6,250,230,24,0,1,0
d493_or2,5,41,5,250,230,28,0,1,0
d493_or2,5,41,2,250,230,45,0,1,0
d493_or2,6,51,6,223,200,80,1,0,0
d493_or2,6,51,1,250,230,10,0,1,0
d493_or2,6,51,5,250,230,25,0,1,0
d493_or2,6,51,7,242,220,80,1,0,0
d493_or2,6,51,8,250,230,1,0,1,0
d493_or2,6,51,0,250,230,9,0,1,0
d493_or2,6,51,2,250,230,12,0,1,0
d493_or2,6,51,4,250,230,27,0,1,0
d493_or2,6,51,3,250,230,15,0,1,0
d493_or2,7,61,5,200,180,91,1,0,0
d493_or2,7,61,4,200,180,87,1,0,0
d493_or2,7,61,7,229,200,80,1,0,0
d493_or2,7,61,2,227,200,80,1,0,0
d493_or2,7,61,8,242,220,80,1,0,0
d493_or2,7,61,0,250,230,37,0,1,0
d493_or2,7,61,3,250,230,58,0,1,0
d493_or2,7,61,1,250,230,21,0,1,0
d493_or2,7,61,6,250,230,57,0,1,0
d493_or2,8,71,8,237,210,80,1,0,0
d493_or2,8,71,5,250,230,48,0,1,0
d493_or2,8,71,1,250,230,50,0,1,0
d493_or2,8,71,2,250,230,13,0,1,0
d493_or2,8,71,4,250,230,20,0,1,0
d493_or2,8,71,0,250,230,27,0,1,0
d493_or2,8,71,7,250,230,28,0,1,0
d493_or2,8,71,3,250,230,4,0,1,0
d493_or2,8,71,6,250,230,20,0,1,0
d493_or2,9,81,2,202,180,80,1,0,0
d493_or2,9,81,5,237,210,80,1,0,0
d493_or2,9,81,3,250,230,38,0,1,0
d493_or2,9,81,8,250,230,48,0,1,0
d493_or2,9,81,1,250,230,37,0,1,0
d493_or2,9,81,0,250,230,65,0,1,0
d493_or2,9,81,4,250,230,13,0,1,0
d493_or2,9,81,6,250,230,43,0,1,0
d493_or2,9,81,7,250,230,3,0,1,0
kroD100_or10,10,91,8,200,180,170,1,0,0
kroD100_or10,10,91,7,217,190,80,1,0,0
kroD100_or10,10,91,3,244,220,80,1,0,0
kroD100_or10,10,91,4,250,230,18,0,1,0
kroD100_or10,10,91,5,250,230,3,0,1,0
kroD100_or10,10,91,0,250,230,1,0,1,0
kroD100_or10,10,91,2,250,230,33,0,1,0
kroD100_or10,10,91,6,250,230,11,0,1,0
kroD100_or10,10,91,1,250,230,31,0,1,0
kroD100_or10,1,1,0,250,230,24,0,1,0
kroD100_or10,1,1,2,250,230,14,0,1,0
kroD100_or10,1,1,7,250,230,38,0,1,0
kroD100_or10,1,1,1,250,230,28,0,1,0
kroD100_or10,1,1,3,250,230,24,0,1,0
kroD100_or10,1,1,4,250,230,74,0,1,0
kroD100_or10,1,1,6,250,230,54,0,1,0
kroD100_or10,1,1,5,250,230,0,0,1,0
kroD100_or10,1,1,8,250,231,20,0,1,0
kroD100_or10,2,11,1,200,180,86,1,0,0
kroD100_or10,2,11,6,250,230,32,0,1,0
kroD100_or10,2,11,0,250,230,31,0,1,0
kroD100_or10,2,11,5,250,230,15,0,1,0
kroD100_or10,2,11,8,250,230,54,0,1,0
kroD100_or10,2,11,2,250,230,25,0,1,0
kroD100_or10,2,11,7,250,230,69,0,1,0
kroD100_or10,2,11,4,250,230,11,0,1,0
kroD100_or10,3,21,0,205,180,80,1,0,0
kroD100_or10,3,21,5,218,190,80,1,0,0
kroD100_or10,3,21,1,219,190,80,1,0,0
kroD100_or10,3,21,8,250,230,49,0,1,0
kroD100_or10,3,21,6,250,230,5,0,1,0
kroD100_or10,3,21,4,250,230,5,0,1,0
kroD100_or10,3,21,7,250,230,0,0,1,0
kroD100_or10,3,21,3,250,230,8,0,1,0
kroD100_or10,3,21,2,250,230,7,0,1,0
kroD100_or10,4,31,0,250,230,17,0,1,0
kroD100_or10,4,31,3,250,230,56,0,1,0
kroD100_or10,4,31,2,250,230,39,0,1,0
kroD100_or10,4,31,6,250,230,56,0,1,0
kroD100_or10,4,31,1,250,230,58,0,1,0
kroD100_or10,4,31,7,250,230,14,0,1,0
kroD100_or10,4,31,5,250,230,4,0,1,0
kroD100_or10,4,31,8,250,230,53,0,1,0
kroD100_or10,4,31,4,250,230,58,0,1,0
kroD100_or10,5,41,1,213,190,80,1,0,0
kroD100_or10,5,41,8,239,210,80,1,0,0
kroD100_or10,5,41,4,250,230,26,0,1,0
kroD100_or10,5,41,0,250,230,5,0,1,0
kroD100_or10,5,41,6,250,230,28,0,1,0
kroD100_or10,5,41,3,250,230,1,0,1,0
kroD100_or10,5,41,2,250,230,19,0,1,0
kroD100_or10,5,41,5,250,230,67,0,1,0
kroD100_or10,5,41,7,250,230,44,0,1,0
kroD100_or10,6,51,8,207,180,80,1,0,0
kroD100_or10,6,51,4,250,230,28,0,1,0
kroD100_or10,6,51,7,250,230,28,0,1,0
kroD100_or10,6,51,0,250,230,32,0,1,0
kroD100_or10,6,51,3,250,230,22,0,1,0
kroD100_or10,6,51,1,250,230,6,0,1,0
kroD100_or10,6,51,6,250,230,73,0,1,0
kroD100_or10,6,51,2,250,230,10,0,1,0
kroD100_or10,7,61,6,236,210,80,1,0,0
kroD100_or10,7,61,3,250,230,63,0,1,0
kroD100_or10,7,61,0,250,230,64,0,1,0
kroD100_or10,7,61,2,250,230,61,0,1,0
kroD100_or10,7,61,8,250,230,43,0,1,0
kroD100_or10,7,61,5,250,230,52,0,1,0
kroD100_or10,7,61,7,250,230,54,0,1,0
kroD100_or10,7,61,4,250,230,34,0,1,0
kroD100_or10,7,61,1,250,230,23,0,1,0
kroD100_or10,8,71,1,200,180,107,1,0,0
kroD100_or10,8,71,5,200,180,111,1,0,0
kroD100_or10,8,71,3,200,180,117,1,0,0
kroD100_or10,8,71,2,250,230,61,0,1,0
kroD100_or10,8,71,0,250,230,15,0,1,0
kroD100_or10,8,71,6,250,230,47,0,1,0
kroD100_or10,8,71,7,250,230,30,0,1,0
kroD100_or10,8,71,4,250,230,18,0,1,0
kroD100_or10,8,71,8,250,230,16,0,1,0
kroD100_or10,9,81,6,200,180,97,1,0,0
kroD100_or10,9,81,8,203,180,80,1,0,0
kroD100_or10,9,81,7,233,210,80,1,0,0
kroD100_or10,9,81,5,246,220,80,1,0,0
kroD100_or10,9,81,0,250,230,76,0,1,0
kroD100_or10,9,81,1,250,230,15,0,1,0
kroD100_or10,9,81,2,250,230,0,0,1,0
kroD100_or10,9,81,3,250,230,20,0,1,0
kroD100_or10,9,81,4,250,230,51,0,1,0
rat195_or10,10,91,0,200,180,86,1,0,0
rat195_or10,10,91,8,227,200,80,1,0,0
rat195_or10,10,91,6,250,230,55,0,1,0
rat195_or10,10,91,1,250,230,53,0,1,0
rat195_or10,10,91,2,250,230,29,0,1,0
rat195_or10,10,91,4,250,230,1,0,1,0
rat195_or10,10,91,5,250,230,6,0,1,0
rat195_or10,10,91,3,250,230,12,0,1,0
rat195_or10,10,91,7,250,230,79,0,1,0
rat195_or10,1,1,0,210,190,80,1,0,0
rat195_or10,1,1,6,233,210,80,1,0,0
rat195_or10,1,1,1,239,210,80,1,0,0
rat195_or10,1,1,5,250,230,18,0,1,0
rat195_or10,1,1,3,250,230,75,0,1,0
rat195_or10,1,1,7,250,230,80,1,1,0
rat195_or10,1,1,8,250,230,37,0,1,0
